0,100
5,108
10,116
15,121
20,126
25,129
30,137
35,142
40,148
45,159
50,167
55,171
60,180
65,181
70,183
75,189
80,196
85,200
90,204
95,209
100,221
105,232
110,237
115,249
120,255
125,259
130,266
135,275
140,284
145,300
150,306
155,312
160,319
165,325
170,332
175,342
180,345
185,359
190,356
195,369
200,377
205,386
210,396
215,402
220,409
225,415
230,425
235,433
240,441
245,447
250,453
255,466
260,477
265,484
270,498
275,505
280,512
285,519
290,536
295,545
300,550
305,560
310,570
315,581
320,597
325,604
330,609
335,616
340,622
345,627
350,629
355,635
360,636
365,640
370,650
375,658
380,665
385,671
390,679
395,687
400,692
405,695
410,701
415,706
420,715
425,720
430,723
435,731
440,734
445,737
450,742
455,746
460,757
465,759
470,762
475,764
480,766
485,771
490,777
495,778
500,784
505,789
510,795
515,797
520,801
525,802
530,806
535,809
540,814
545,818
550,821
555,823
560,825
565,829
570,833
575,836
580,840
585,842
590,844
595,848
600,848
605,850
610,851
615,853
620,855
625,857
630,857
635,861
640,865
645,865
650,865
655,865
660,866
665,867
670,870
675,872
680,875
685,875
690,876
695,877
700,877
705,878
710,878
715,879
720,879
725,879
730,879
735,881
740,884
745,884
750,885
755,885
760,885
765,885
770,885
775,886
780,886
785,888
790,888
795,889
800,891
805,891
810,891
815,891
820,891
825,891
830,892
835,892
840,892
845,892
850,893
855,893
860,893
865,893
870,893
875,893
880,893
885,893
890,894
895,894
900,894
905,894
910,894
915,894
920,894
925,894
930,895
935,895
940,895
945,895
950,895
955,895
960,896
965,896
970,896
975,897
980,898
985,898
990,898
995,898
1000,898
1005,898
1010,898
1015,898
1020,899
1025,899
1030,899
1035,899
1040,899
1045,899
1050,899
1055,899
1060,899
1065,899
1070,899
1075,899
1080,899
1085,899
1090,899
1095,899
1100,899
